symbol,date,value,Value Difference
djia,2018-05-24,24811.76,-75.05000000000291
djia,2018-05-25,24753.09,-58.669999999998254
djia,2018-05-29,24361.45,-391.6399999999994
djia,2018-05-30,24667.78,306.3299999999981
djia,2018-05-31,24415.84,-251.9399999999987
djia,2018-06-01,24635.21,219.36999999999898
djia,2018-06-04,24813.69,178.47999999999956
djia,2018-06-05,24799.98,-13.709999999999127
djia,2018-06-06,25146.39,346.40999999999985
djia,2018-06-07,25241.41,95.02000000000044
djia,2018-06-08,25316.53,75.11999999999898
djia,2018-06-11,25322.31,5.780000000002474
djia,2018-06-12,25320.73,-1.5800000000017462
djia,2018-06-13,25201.2,-119.52999999999884
djia,2018-06-14,25175.31,-25.889999999999418
djia,2018-06-15,25090.48,-84.83000000000175
djia,2018-06-18,24987.47,-103.0099999999984
djia,2018-06-19,24700.21,-287.26000000000204
djia,2018-06-20,24657.8,-42.409999999999854
djia,2018-06-21,24461.7,-196.09999999999854
djia,2018-06-22,24580.89,119.18999999999869
djia,2018-06-25,24252.8,-328.09000000000015
djia,2018-06-26,24283.11,30.31000000000131
djia,2018-06-27,24117.59,-165.52000000000044
djia,2018-06-28,24216.05,98.45999999999913
djia,2018-06-29,24271.41,55.36000000000058
djia,2018-07-02,24307.18,35.77000000000044
djia,2018-07-03,24174.82,-132.36000000000058
djia,2018-07-05,24356.74,181.9200000000019
djia,2018-07-06,24456.48,99.73999999999796
djia,2018-07-09,24776.59,320.1100000000006
djia,2018-07-10,24919.66,143.0699999999997
djia,2018-07-11,24700.45,-219.20999999999913
djia,2018-07-12,24924.89,224.4399999999987
djia,2018-07-13,25019.41,94.52000000000044
djia,2018-07-16,25064.36,44.95000000000073
djia,2018-07-17,25119.89,55.529999999998836
djia,2018-07-18,25199.29,79.40000000000146
djia,2018-07-19,25064.5,-134.79000000000087
djia,2018-07-20,25058.12,-6.380000000001019
djia,2018-07-23,25044.29,-13.829999999998108
djia,2018-07-24,25241.94,197.64999999999782
djia,2018-07-25,25414.1,172.15999999999985
djia,2018-07-26,25527.07,112.97000000000116
djia,2018-07-27,25451.06,-76.0099999999984
djia,2018-07-30,25306.83,-144.22999999999956
djia,2018-07-31,25415.19,108.35999999999694
djia,2018-08-01,25333.82,-81.36999999999898
djia,2018-08-02,25326.16,-7.6599999999998545
djia,2018-08-03,25462.58,136.4200000000019
djia,2018-08-06,25502.18,39.599999999998545
djia,2018-08-07,25628.91,126.72999999999956
djia,2018-08-08,25583.75,-45.159999999999854
djia,2018-08-09,25509.23,-74.52000000000044
djia,2018-08-10,25313.14,-196.09000000000015
djia,2018-08-13,25187.7,-125.43999999999869
djia,2018-08-14,25299.92,112.21999999999753
djia,2018-08-15,25162.41,-137.5099999999984
djia,2018-08-16,25558.73,396.3199999999997
djia,2018-08-17,25669.32,110.59000000000015
djia,2018-08-20,25758.69,89.36999999999898
djia,2018-08-21,25822.29,63.60000000000218
djia,2018-08-22,25733.6,-88.69000000000233
djia,2018-08-23,25656.98,-76.61999999999898
djia,2018-08-24,25790.35,133.36999999999898
djia,2018-08-27,26049.64,259.2900000000009
djia,2018-08-28,26064.02,14.380000000001019
djia,2018-08-29,26124.57,60.54999999999927
djia,2018-08-30,25986.92,-137.65000000000146
djia,2018-08-31,25964.82,-22.099999999998545
djia,2018-09-04,25952.48,-12.340000000000146
djia,2018-09-05,25974.99,22.510000000002037
djia,2018-09-06,25995.87,20.87999999999738
djia,2018-09-07,25916.54,-79.32999999999811
djia,2018-09-10,25857.07,-59.470000000001164
djia,2018-09-11,25971.06,113.9900000000016
djia,2018-09-12,25998.92,27.859999999996944
djia,2018-09-13,26145.99,147.07000000000335
djia,2018-09-14,26154.67,8.679999999996653
djia,2018-09-17,26062.12,-92.54999999999927
djia,2018-09-18,26246.96,184.84000000000015
djia,2018-09-19,26405.76,158.79999999999927
djia,2018-09-20,26656.98,251.22000000000116
djia,2018-09-21,26743.5,86.52000000000044
djia,2018-09-24,26562.05,-181.45000000000073
djia,2018-09-25,26492.21,-69.84000000000015
djia,2018-09-26,26385.28,-106.93000000000029
djia,2018-09-27,26439.93,54.650000000001455
djia,2018-09-28,26458.31,18.38000000000102
djia,2018-10-01,26651.21,192.89999999999782
djia,2018-10-02,26773.94,122.72999999999956
djia,2018-10-03,26828.39,54.45000000000073
djia,2018-10-04,26627.48,-200.90999999999985
djia,2018-10-05,26447.05,-180.4300000000003
djia,2018-10-08,26486.78,39.72999999999956
djia,2018-10-09,26430.57,-56.20999999999913
djia,2018-10-10,25598.74,-831.8299999999981
djia,2018-10-11,25052.83,-545.9099999999999
djia,2018-10-12,25339.99,287.15999999999985
djia,2018-10-15,25250.55,-89.44000000000233
djia,2018-10-16,25798.42,547.869999999999
djia,2018-10-17,25706.68,-91.73999999999796
djia,2018-10-18,25379.45,-327.22999999999956
djia,2018-10-19,25444.34,64.88999999999942
djia,2018-10-22,25317.41,-126.93000000000029
djia,2018-10-23,25191.43,-125.97999999999956
djia,2018-10-24,24583.42,-608.010000000002
djia,2018-10-25,24984.55,401.130000000001
djia,2018-10-26,24688.31,-296.23999999999796
djia,2018-10-29,24442.92,-245.39000000000306
djia,2018-10-30,24874.64,431.72000000000116
djia,2018-10-31,25115.76,241.11999999999898
djia,2018-11-01,25380.74,264.9800000000032
djia,2018-11-02,25270.83,-109.90999999999985
djia,2018-11-05,25461.7,190.86999999999898
djia,2018-11-06,25635.01,173.30999999999767
djia,2018-11-07,26180.3,545.2900000000009
djia,2018-11-08,26191.22,10.920000000001892
djia,2018-11-09,25989.3,-201.9200000000019
djia,2018-11-12,25387.18,-602.119999999999
djia,2018-11-13,25286.49,-100.68999999999869
djia,2018-11-14,25080.5,-205.9900000000016
djia,2018-11-15,25289.27,208.77000000000044
djia,2018-11-16,25413.22,123.95000000000073
djia,2018-11-19,25017.44,-395.7800000000025
djia,2018-11-20,24465.64,-551.7999999999993
djia,2018-11-21,24464.69,-0.9500000000007276
djia,2018-11-23,24285.95,-178.73999999999796
djia,2018-11-26,24640.24,354.2900000000009
djia,2018-11-27,24748.73,108.48999999999796
djia,2018-11-28,25366.43,617.7000000000007
djia,2018-11-29,25338.84,-27.590000000000146
djia,2018-11-30,25538.46,199.61999999999898
djia,2018-12-03,25826.43,287.97000000000116
djia,2018-12-04,25027.07,-799.3600000000006
djia,2018-12-06,24947.67,-79.40000000000146
djia,2018-12-07,24388.95,-558.7199999999975
djia,2018-12-10,24423.26,34.30999999999767
djia,2018-12-11,24370.24,-53.0199999999968
djia,2018-12-12,24527.27,157.02999999999884
djia,2018-12-13,24597.38,70.11000000000058
djia,2018-12-14,24100.51,-496.8700000000026
djia,2018-12-17,23592.98,-507.52999999999884
djia,2018-12-18,23675.64,82.65999999999985
djia,2018-12-19,23323.66,-351.97999999999956
djia,2018-12-20,22859.6,-464.0600000000013
djia,2018-12-21,22445.37,-414.22999999999956
djia,2018-12-24,21792.2,-653.1699999999983
djia,2018-12-26,22878.45,1086.25
djia,2018-12-27,23138.82,260.369999999999
djia,2018-12-28,23062.4,-76.41999999999825
djia,2018-12-31,23327.46,265.0599999999977
djia,2019-01-02,23346.24,18.780000000002474
djia,2019-01-03,22686.22,-660.0200000000004
djia,2019-01-04,23433.16,746.9399999999987
djia,2019-01-07,23531.35,98.18999999999869
djia,2019-01-08,23787.45,256.1000000000022
djia,2019-01-09,23879.12,91.66999999999825
djia,2019-01-10,24001.92,122.79999999999927
djia,2019-01-11,23995.95,-5.969999999997526
djia,2019-01-14,23909.84,-86.11000000000058
djia,2019-01-15,24065.59,155.75
djia,2019-01-16,24207.16,141.5699999999997
djia,2019-01-17,24370.1,162.9399999999987
djia,2019-01-18,24706.35,336.25
djia,2019-01-22,24404.48,-301.869999999999
djia,2019-01-23,24575.62,171.13999999999942
djia,2019-01-24,24553.24,-22.37999999999738
djia,2019-01-25,24737.2,183.95999999999913
djia,2019-01-28,24528.22,-208.97999999999956
