Symbol,Date,Open,High,Low,Close
CCMP:IND,24/08/1999,2708.8,2777,2708.06,2752.37
CCMP:IND,23/08/1999,2670.7,2719.91,2670.7,2719.57
CCMP:IND,20/08/1999,2635.05,2648.41,2620.21,2648.33
CCMP:IND,19/08/1999,2637.74,2638.76,2612.28,2621.43
CCMP:IND,18/08/1999,2671.13,2683.15,2657.39,2657.73
CCMP:IND,17/08/1999,2674.47,2680,2631.34,2671.22
CCMP:IND,16/08/1999,2644.67,2661.15,2623.05,2645.28
CCMP:IND,13/08/1999,2590.17,2637.82,2590.17,2637.81
CCMP:IND,12/8/1999,2567.21,2586.1,2548.51,2549.49
CCMP:IND,11/8/1999,2532.54,2565.15,2501.78,2564.98
CCMP:IND,10/8/1999,2513.14,2521.65,2442.22,2490.11
CCMP:IND,9/8/1999,2562.05,2563.72,2517.46,2518.98
CCMP:IND,6/8/1999,2552.03,2592.33,2535.63,2547.97
CCMP:IND,5/8/1999,2539.24,2565.83,2474.41,2565.83
CCMP:IND,4/8/1999,2590.2,2603.68,2538.88,2540
CCMP:IND,3/8/1999,2647.81,2649.21,2564.25,2587.99
CCMP:IND,2/8/1999,2638.31,2670.81,2617.22,2623.63
CCMP:IND,30/07/1999,2657.83,2676.45,2631.87,2638.49
CCMP:IND,29/07/1999,2663.96,2705.84,2627.8,2640.01
CCMP:IND,28/07/1999,2684.04,2709.76,2660.62,2705.84
CCMP:IND,27/07/1999,2658.26,2685.04,2650.18,2679.33
CCMP:IND,26/07/1999,2656.3,2666.66,2619.08,2619.19
CCMP:IND,23/07/1999,2700.86,2708.87,2668.43,2692.4
CCMP:IND,22/07/1999,2749.05,2749.05,2679.35,2684.44
CCMP:IND,21/07/1999,2742.83,2769.6,2728.37,2761.77
CCMP:IND,20/07/1999,2806.37,2830.28,2728.81,2732.18
CCMP:IND,19/07/1999,2874.61,2874.92,2829.89,2830.29
CCMP:IND,16/07/1999,2851.52,2871.9,2839.37,2864.48
CCMP:IND,15/07/1999,2828.61,2840.03,2813.52,2839.37
CCMP:IND,14/07/1999,2796.62,2818.14,2771.21,2818.13
CCMP:IND,13/07/1999,2768.82,2790.55,2755.84,2778.23
CCMP:IND,12/7/1999,2805.08,2812.35,2774.77,2790.44
CCMP:IND,9/7/1999,2785.34,2793.26,2767.37,2793.07
CCMP:IND,8/7/1999,2744.48,2775.52,2731.12,2771.86
CCMP:IND,7/7/1999,2742.33,2748.82,2724.37,2743.04
CCMP:IND,6/7/1999,2760.01,2787.17,2733.63,2736.78
CCMP:IND,2/7/1999,2712.9,2741.02,2706.18,2741.02
CCMP:IND,1/7/1999,2692.96,2711.76,2658.26,2706.18
CCMP:IND,30/06/1999,2639.79,2696.87,2621.06,2686.12
CCMP:IND,29/06/1999,2602.98,2642.11,2594.32,2642.11
CCMP:IND,28/06/1999,2568.47,2602.45,2554.95,2602.44
CCMP:IND,25/06/1999,2573,2587.15,2542.36,2552.65
CCMP:IND,24/06/1999,2596.71,2598.13,2550.14,2553.99
CCMP:IND,23/06/1999,2569.4,2598.13,2557.46,2598.12
CCMP:IND,22/06/1999,2618.34,2642.36,2580.26,2580.26
CCMP:IND,21/06/1999,2578.2,2630.28,2563.44,2630.28
CCMP:IND,18/06/1999,2524.81,2564.44,2524.81,2563.44
CCMP:IND,17/06/1999,2500.35,2549.99,2494.28,2544.15
CCMP:IND,16/06/1999,2465.01,2517.85,2414.66,2517.83
CCMP:IND,15/06/1999,2403.47,2434.52,2397.4,2414.67
CCMP:IND,14/06/1999,2453.23,2456.17,2397.12,2398.31
CCMP:IND,11/6/1999,2495.59,2506.19,2442.87,2447.88
CCMP:IND,10/6/1999,2504.24,2523.49,2468.58,2484.62
CCMP:IND,9/6/1999,2495.12,2519.57,2491.71,2519.35
CCMP:IND,8/6/1999,2526.11,2534.48,2472.05,2474.56
CCMP:IND,7/6/1999,2490.83,2528.05,2478.34,2524.21
CCMP:IND,4/6/1999,2419.46,2478.34,2419.46,2478.34
CCMP:IND,3/6/1999,2440.75,2444.04,2402.29,2403.32
CCMP:IND,2/6/1999,2411.32,2436.57,2364.59,2432.41
CCMP:IND,1/6/1999,2467.51,2470.53,2411.97,2412.03
CCMP:IND,28/05/1999,2427.83,2470.64,2412.11,2470.52
CCMP:IND,27/05/1999,2421.1,2440.08,2400.94,2419.15
CCMP:IND,26/05/1999,2407.86,2427.18,2339.12,2427.18
CCMP:IND,25/05/1999,2454.63,2466.17,2379.61,2380.9
CCMP:IND,24/05/1999,2529.3,2529.3,2444.89,2453.66
CCMP:IND,21/05/1999,2551.42,2553.76,2509.24,2520.14
CCMP:IND,20/05/1999,2585.46,2587.33,2542.23,2542.23
CCMP:IND,19/05/1999,2568.44,2577.93,2540.38,2577.4
CCMP:IND,18/05/1999,2569.59,2576.43,2543.32,2558.36
CCMP:IND,17/05/1999,2517.26,2561.85,2494.51,2561.84
CCMP:IND,14/05/1999,2549.33,2558.59,2519.53,2527.86
CCMP:IND,13/05/1999,2621.74,2632.74,2581.75,2582
CCMP:IND,12/5/1999,2584.57,2610.33,2548.24,2606.54
CCMP:IND,11/5/1999,2553.02,2574.37,2542.42,2566.68
CCMP:IND,10/5/1999,2516.84,2536.11,2500.74,2526.39
CCMP:IND,7/5/1999,2499.53,2507.72,2462.27,2503.62
CCMP:IND,6/5/1999,2532.41,2546.36,2464.57,2472.28
CCMP:IND,5/5/1999,2498.15,2534.45,2430.65,2534.45
CCMP:IND,4/5/1999,2535.81,2557.21,2482.49,2485.12
CCMP:IND,3/5/1999,2546.33,2549.1,2512.37,2535.58
CCMP:IND,30/04/1999,2565.87,2578.06,2488.4,2542.85
CCMP:IND,29/04/1999,2544.93,2553.1,2500.75,2528.44
